Confusion Matrix,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Model,MCRNI,Rank Sum Pos,Rank Sum Neg,U Stat Pos,U Stat Neg
"[[186, 0], [47, 17]]",0.812,1,0.265625,0.41975308641975306,0.9217069892473119,model_9,78.4375,13052,18323,10972,932
"[[184, 2], [21, 43]]",0.908,0.9555555555555556,0.671875,0.7889908256880734,0.944304435,model_8,82.640625,13321,18054,11241,663
"[[184, 2], [22, 42]]",0.904,0.9545454545454546,0.65625,0.7777777777777778,0.9412802419354838,model_7,82.078125,13285,18090,11205,699
"[[184, 2], [22, 42]]",0.904,0.9545454545454546,0.65625,0.7777777777777778,0.9371639784946236,model_6,81.3125,13236,18139,11156,748
"[[186, 0], [28, 36]]",0.888,1,0.5625,0.72,0.9405241935483871,model_5,81.9375,13276,18099,11196,708
"[[186, 0], [28, 36]]",0.888,1,0.5625,0.72,0.9381720430107526,model_4,81.5,13248,18127,11168,736
"[[185, 1], [28, 36]]",0.884,0.972972973,0.5625,0.7128712871287128,0.9378360215053763,model_3,81.4375,13244,18131,11164,740
"[[184, 2], [21, 43]]",0.908,0.9555555555555556,0.671875,0.7889908256880734,0.9442204301075269,model_16,82.625,13320,18055,11240,664
"[[185, 1], [29, 35]]",0.88,0.9722222222222222,0.546875,0.7,0.9360719086021505,model_21,81.109375,13223,18152,11143,761
"[[184, 2], [22, 42]]",0.904,0.9545454545454546,0.65625,0.7777777777777778,0.9390961021505376,model_24,81.671875,13259,18116,11179,725
"[[186, 0], [28, 36]]",0.888,1,0.5625,0.72,0.9401881720430108,model_23,81.875,13272,18103,11192,712
"[[186, 0], [29, 35]]",0.884,1,0.546875,0.7070707070707071,0.9380040322580645,model_22,81.46875,13246,18129,11166,738
"[[184, 2], [20, 44]]",0.912,0.9565217391304348,0.6875,0.8,0.9440524193548387,model_25,82.59375,13318,18057,11238,666
"[[186, 0], [47, 17]]",0.812,1,0.265625,0.41975308641975306,0.9212029569892473,model_20,78.34375,13046,18329,10966,938
"[[186, 0], [48, 16]]",0.808,1,0.25,0.4,0.9269993279569891,model_2,79.421875,13115,18260,11035,869
"[[186, 0], [47, 17]]",0.812,1,0.265625,0.41975308641975306,0.9202788978494624,model_19,78.171875,13035,18340,10955,949
"[[186, 0], [48, 16]]",0.808,1,0.25,0.4,0.9180107526881721,model_18,77.75,13008,18367,10928,976
"[[184, 2], [22, 42]]",0.904,0.9545454545454546,0.65625,0.7777777777777778,0.9469926075268817,model_17,83.140625,13353,18022,11273,631
"[[184, 2], [22, 42]]",0.904,0.9545454545454546,0.65625,0.7777777777777778,0.9474966397849462,model_26,83.234375,13359,18016,11279,625
"[[184, 2], [22, 42]]",0.904,0.9545454545454546,0.65625,0.7777777777777778,0.9396001344086022,model_15,81.765625,13265,18110,11185,719
"[[186, 0], [28, 36]]",0.888,1,0.5625,0.72,0.9392641129032259,model_14,81.703125,13261,18114,11181,723
"[[186, 0], [29, 35]]",0.884,1,0.546875,0.7070707070707071,0.9385920698924731,model_13,81.578125,13253,18122,11173,731
"[[186, 0], [29, 35]]",0.884,1,0.546875,0.7070707070707071,0.9363239247311828,model_12,81.15625,13226,18149,11146,758
"[[186, 0], [47, 17]]",0.812,1,0.265625,0.41975308641975306,0.9230510752688172,model_11,78.6875,13068,18307,10988,916
"[[186, 0], [47, 17]]",0.812,1,0.265625,0.41975308641975306,0.9222110215053764,model_10,78.53125,13058,18317,10978,926
"[[186, 0], [47, 17]]",0.812,1,0.265625,0.41975308641975306,0.9259072580645161,model_1,79.21875,13102,18273,11022,882
"[[186, 0], [47, 17]]",0.812,1,0.265625,0.41975308641975306,0.925739247,model_0,79.1875,13100,18275,11020,884
